person_id,loan_grade,loan_intent,loan_amnt,loan_int_rate,loan_percent_income
89,E,DEBTCONSOLIDATION,3250,15.68,0.27
90,C,EDUCATION,27500,13.06,0.39
91,B,PERSONAL,25000,,0.1
92,D,VENTURE,27050,15.62,0.37
93,C,PERSONAL,27000,13.49,0.33
94,D,VENTURE,27000,,0.37
95,B,MEDICAL,26000,11.71,0.42
96,B,EDUCATION,25600,12.69,0.21
97,C,MEDICAL,1600,13.57,0.13
98,B,VENTURE,25475,10.99,0.42
99,C,MEDICAL,20000,14.27,0.09
100,B,HOMEIMPROVEMENT,20000,8.88,0.09
101,B,HOMEIMPROVEMENT,21600,12.18,0.09
102,D,DEBTCONSOLIDATION,11900,14.42,0.05
103,C,MEDICAL,25000,14.17,0.11
104,C,MEDICAL,35000,13.99,0.15
105,B,EDUCATION,25300,10.99,0.3
106,A,PERSONAL,2000,5.42,0.16
107,C,PERSONAL,1750,13.61,0.14
108,C,EDUCATION,25000,12.73,0.59
109,D,HOMEIMPROVEMENT,25000,,0.61
110,C,DEBTCONSOLIDATION,3000,12.87,0.23
111,B,HOMEIMPROVEMENT,3650,9.91,0.28
112,B,HOMEIMPROVEMENT,20000,11.49,0.09
113,E,HOMEIMPROVEMENT,30000,19.91,0.13
114,B,EDUCATION,35000,10.65,0.16
115,B,MEDICAL,6000,,0.03
116,B,DEBTCONSOLIDATION,4500,11.83,0.35
117,C,DEBTCONSOLIDATION,2400,13.49,0.18
118,D,MEDICAL,25000,14.59,0.6
119,B,EDUCATION,25000,9.64,0.52
120,D,MEDICAL,3600,14.59,0.28
121,B,EDUCATION,4750,,0.37
122,E,EDUCATION,25000,16.35,0.59
123,B,EDUCATION,25000,10.99,0.51
124,F,VENTURE,25000,18.67,0.11
125,A,EDUCATION,3000,9.32,0.01
126,A,DEBTCONSOLIDATION,7500,8.63,0.03
127,B,VENTURE,25000,10.08,0.11
128,B,PERSONAL,25000,11.83,0.51
129,A,DEBTCONSOLIDATION,25000,7.9,0.5
130,A,HOMEIMPROVEMENT,25000,5.99,0.5
131,D,DEBTCONSOLIDATION,25000,15.33,0.57
132,B,VENTURE,25000,11.83,0.5
133,B,VENTURE,25000,10.36,0.5
134,C,VENTURE,25000,12.23,0.5
135,B,EDUCATION,25000,11.11,0.48
136,A,DEBTCONSOLIDATION,4950,7.9,0.38
137,B,EDUCATION,25000,11.58,0.11
138,A,DEBTCONSOLIDATION,21000,8.9,0.1
139,D,EDUCATION,25000,16.07,0.12
140,C,EDUCATION,20000,14.22,0.09
141,C,MEDICAL,35000,14.79,0.16
142,A,EDUCATION,12000,7.88,0.06
143,C,PERSONAL,25000,13.22,0.48
144,D,DEBTCONSOLIDATION,25000,11.86,0.54
145,C,EDUCATION,25000,13.43,0.47
146,D,HOMEIMPROVEMENT,25000,15.28,0.53
147,E,VENTURE,25000,17.93,0.53
148,B,EDUCATION,1400,9.25,0.11
149,C,VENTURE,4500,12.98,0.34
150,B,VENTURE,16000,10.62,0.08
151,B,PERSONAL,22000,11.83,0.1
152,F,VENTURE,25000,18.43,0.52
153,B,EDUCATION,25000,,0.45
154,D,HOMEIMPROVEMENT,25000,,0.45
155,B,EDUCATION,25000,11.36,0.45
156,D,EDUCATION,25000,15.65,0.45
157,C,PERSONAL,25000,13.22,0.45
158,C,DEBTCONSOLIDATION,25000,12.87,0.45
159,C,MEDICAL,20000,13.04,0.1
160,F,EDUCATION,22000,17.58,0.12
161,E,PERSONAL,7750,17.04,0.56
162,B,PERSONAL,25000,10.99,0.42
163,B,PERSONAL,25000,11.11,0.42
164,D,DEBTCONSOLIDATION,25000,14.83,0.46
165,D,DEBTCONSOLIDATION,4000,,0.29
166,B,MEDICAL,12000,12.69,0.06
167,C,HOMEIMPROVEMENT,12000,13.49,0.06
168,C,EDUCATION,16000,14.65,0.08
169,E,HOMEIMPROVEMENT,25000,16.82,0.46
170,C,PERSONAL,25000,12.73,0.42
171,B,PERSONAL,25000,10.25,0.42
172,B,EDUCATION,25000,10.99,0.42
173,C,MEDICAL,25000,12.73,0.4
174,D,HOMEIMPROVEMENT,25000,14.96,0.44
175,A,EDUCATION,28000,,0.14
176,C,DEBTCONSOLIDATION,25000,13.99,0.13
177,A,VENTURE,24000,7.49,0.12
178,C,EDUCATION,15000,14.79,0.07
179,B,DEBTCONSOLIDATION,15500,11.99,0.08
180,A,EDUCATION,10000,8.49,0.05
181,B,EDUCATION,25000,9.91,0.38
182,C,EDUCATION,25000,13.06,0.38
183,A,DEBTCONSOLIDATION,9000,6.17,0.04
184,B,EDUCATION,6000,11.86,0.03
185,D,EDUCATION,18000,16.32,0.09
186,B,VENTURE,12000,10.38,0.06
187,C,PERSONAL,23050,14.35,0.12
188,B,DEBTCONSOLIDATION,20000,,0.1
189,E,DEBTCONSOLIDATION,25000,,0.42
190,B,HOMEIMPROVEMENT,3000,,0.21
191,D,PERSONAL,25000,15.21,0.37
192,A,EDUCATION,25000,7.9,0.37
193,B,VENTURE,25000,10.99,0.37
194,D,PERSONAL,25000,14.09,0.37
195,D,PERSONAL,25000,17.49,0.36
196,B,EDUCATION,12000,11.48,0.06
197,E,VENTURE,20000,17.74,0.11
198,C,PERSONAL,3000,13.92,0.01
199,D,EDUCATION,25000,15.21,0.36
200,B,MEDICAL,4000,10.99,0.28
201,B,EDUCATION,25000,11.86,0.36
202,A,PERSONAL,6000,7.49,0.42
203,D,MEDICAL,25000,16.49,0.38
204,D,VENTURE,25000,15.33,0.38
205,B,HOMEIMPROVEMENT,25000,11.58,0.38
206,A,EDUCATION,5375,5.79,0.37
207,C,MEDICAL,25000,13.11,0.34
208,B,MEDICAL,25000,10.36,0.34
209,B,DEBTCONSOLIDATION,25000,10.36,0.33
210,C,MEDICAL,22000,,0.11
211,A,VENTURE,20000,6.54,0.1
212,B,MEDICAL,10000,12.53,0.05
213,A,PERSONAL,15000,,0.08
214,C,VENTURE,10000,,0.05
215,B,EDUCATION,25000,10.25,0.33
216,D,EDUCATION,25000,15.95,0.35
217,B,VENTURE,20000,12.18,0.11
218,B,PERSONAL,24000,11.83,0.13
219,C,DEBTCONSOLIDATION,25000,,0.32
220,B,VENTURE,25000,10.62,0.32
221,B,VENTURE,25000,10.74,0.32
222,B,VENTURE,10000,10.25,0.05
223,B,EDUCATION,35000,12.42,0.19
224,C,VENTURE,15000,15.27,0.08
225,D,MEDICAL,25000,15.33,0.34
226,D,VENTURE,25000,15.21,0.31
227,C,VENTURE,6250,14.72,0.43
228,D,PERSONAL,25000,15.7,0.31
229,C,EDUCATION,25000,13.35,0.31
230,C,MEDICAL,1500,,0.1
231,A,EDUCATION,25000,6.62,0.31
232,C,DEBTCONSOLIDATION,25000,13.61,0.31
233,B,MEDICAL,25000,11.36,0.14
234,A,PERSONAL,5000,7.68,0.03
235,D,HOMEIMPROVEMENT,22000,14.46,0.12
236,B,EDUCATION,2500,11.83,0.01
237,C,DEBTCONSOLIDATION,20000,13.47,0.12
238,B,MEDICAL,20000,11.49,0.11
239,A,EDUCATION,1000,,0.01
240,A,PERSONAL,15000,6.03,0.08
241,E,DEBTCONSOLIDATION,25000,16.35,0.34
242,D,DEBTCONSOLIDATION,25000,,0.34
243,A,DEBTCONSOLIDATION,25000,7.29,0.31
244,B,MEDICAL,25000,11.36,0.31
245,B,VENTURE,25000,10.25,0.3
246,B,EDUCATION,25000,11.12,0.3
247,D,PERSONAL,25000,12.92,0.3
248,E,EDUCATION,18000,18.64,0.1
249,A,PERSONAL,28000,7.51,0.16
250,E,HOMEIMPROVEMENT,4000,16.7,0.28
251,B,PERSONAL,2100,11.14,0.15
252,F,PERSONAL,25000,18.3,0.3
253,B,MEDICAL,25000,10.62,0.29
254,B,VENTURE,14000,11.99,0.08
255,B,VENTURE,12000,9.63,0.07
256,F,MEDICAL,10000,18.25,0.06
257,C,DEBTCONSOLIDATION,6000,,0.41
258,D,HOMEIMPROVEMENT,25000,14.84,0.29
259,E,VENTURE,25000,14.7,0.33
260,D,DEBTCONSOLIDATION,25000,16.02,0.33
261,D,MEDICAL,25000,15.37,0.32
262,B,MEDICAL,25000,10.99,0.28
263,A,HOMEIMPROVEMENT,6200,7.9,0.41
264,B,PERSONAL,25000,10.99,0.14
265,B,EDUCATION,21000,11.48,0.12
266,C,MEDICAL,20000,14.26,0.11
267,A,HOMEIMPROVEMENT,10000,8.0,0.06
268,B,VENTURE,9950,11.26,0.06
269,B,MEDICAL,4475,,0.3
270,D,VENTURE,25000,16.32,0.32
271,E,MEDICAL,25000,17.93,0.32
272,B,DEBTCONSOLIDATION,25000,11.36,0.28
273,D,DEBTCONSOLIDATION,25000,14.96,0.32
274,C,PERSONAL,25000,13.43,0.27
275,B,HOMEIMPROVEMENT,25000,12.69,0.27
276,C,VENTURE,25000,12.73,0.27
277,D,VENTURE,25000,15.21,0.27
278,C,MEDICAL,1750,12.68,0.12
279,F,MEDICAL,25000,19.04,0.3
280,D,DEBTCONSOLIDATION,25000,15.95,0.3
281,A,VENTURE,2600,8.9,0.01
282,A,HOMEIMPROVEMENT,8000,7.9,0.05
283,B,EDUCATION,18000,,0.1
284,B,PERSONAL,21000,11.99,0.12
285,C,DEBTCONSOLIDATION,4000,13.98,0.27
286,B,VENTURE,4600,10.99,0.31
287,D,DEBTCONSOLIDATION,25000,15.58,0.28
288,B,MEDICAL,25000,10.99,0.28
289,D,VENTURE,25000,14.96,0.28
290,D,HOMEIMPROVEMENT,1750,15.31,0.12
291,D,VENTURE,25000,15.65,0.28
292,B,VENTURE,25000,9.33,0.25
293,C,PERSONAL,3600,13.47,0.24
294,B,PERSONAL,25000,10.36,0.24
295,E,HOMEIMPROVEMENT,25000,16.77,0.27
296,D,DEBTCONSOLIDATION,25000,14.59,0.27
297,C,VENTURE,3500,11.91,0.02
298,A,EDUCATION,7200,8.38,0.04
299,B,VENTURE,9000,10.59,0.05
300,C,DEBTCONSOLIDATION,8800,14.27,0.05
301,B,DEBTCONSOLIDATION,12000,12.53,0.07
302,E,DEBTCONSOLIDATION,25000,16.0,0.15
303,B,VENTURE,10000,11.71,0.06
304,C,HOMEIMPROVEMENT,3175,11.54,0.21
305,E,HOMEIMPROVEMENT,25000,15.68,0.26
306,B,EDUCATION,1500,10.59,0.1
307,D,HOMEIMPROVEMENT,25000,12.61,0.26
308,C,PERSONAL,25000,,0.23
309,A,PERSONAL,2800,8.49,0.18
310,D,PERSONAL,30000,17.27,0.19
311,A,DEBTCONSOLIDATION,18000,8.9,0.1
312,B,MEDICAL,10000,11.11,0.06
313,D,HOMEIMPROVEMENT,25000,14.59,0.16
314,B,VENTURE,13000,12.42,0.08
315,D,MEDICAL,25000,,0.26
316,D,HOMEIMPROVEMENT,25000,15.7,0.23
317,B,HOMEIMPROVEMENT,2500,12.53,0.16
318,D,MEDICAL,5000,16.49,0.03
319,A,EDUCATION,20000,7.49,0.12
320,D,DEBTCONSOLIDATION,25000,14.96,0.25
321,C,MEDICAL,25000,12.73,0.22
322,B,EDUCATION,25000,10.65,0.21
323,B,MEDICAL,25000,10.74,0.21
324,B,EDUCATION,25000,9.99,0.21
325,D,MEDICAL,25000,15.33,0.23
326,A,VENTURE,1000,7.29,0.06
327,D,PERSONAL,25000,15.05,0.23
328,B,PERSONAL,25000,10.75,0.19
329,D,EDUCATION,25000,16.02,0.19
330,B,VENTURE,25000,11.49,0.19
331,B,EDUCATION,20000,12.53,0.12
332,C,VENTURE,12000,13.57,0.07
333,B,PERSONAL,14000,11.14,0.08
334,C,MEDICAL,24250,12.87,0.14
335,B,EDUCATION,20000,11.58,0.12
336,B,HOMEIMPROVEMENT,1800,11.12,0.01
337,B,PERSONAL,35000,10.65,0.21
338,B,DEBTCONSOLIDATION,25000,10.37,0.19
339,A,HOMEIMPROVEMENT,3300,6.39,0.21
340,D,PERSONAL,25000,16.07,0.19
341,B,MEDICAL,25000,10.62,0.19
342,F,VENTURE,3200,18.09,0.21
343,B,EDUCATION,25000,11.36,0.19
344,B,DEBTCONSOLIDATION,25000,12.53,0.18
345,B,EDUCATION,25000,9.99,0.17
346,B,EDUCATION,25000,10.36,0.17
347,A,EDUCATION,9600,5.99,0.06
348,D,DEBTCONSOLIDATION,24000,15.62,0.16
349,B,PERSONAL,20000,10.37,0.12
350,F,HOMEIMPROVEMENT,25000,19.74,0.15
351,A,EDUCATION,20000,6.91,0.12
352,A,MEDICAL,6000,7.9,0.38
353,C,DEBTCONSOLIDATION,2275,13.06,0.14
354,A,PERSONAL,2000,6.39,0.13
355,E,DEBTCONSOLIDATION,25000,14.93,0.17
356,C,MEDICAL,5600,12.84,0.35
357,E,VENTURE,3625,17.14,0.23
358,A,VENTURE,5500,7.14,0.34
359,A,PERSONAL,25000,8.9,0.14
360,B,PERSONAL,2000,12.42,0.12
361,C,HOMEIMPROVEMENT,25000,12.68,0.14
362,C,PERSONAL,25000,11.03,0.15
363,A,VENTURE,30000,7.9,0.19
364,B,MEDICAL,35000,10.65,0.22
365,B,VENTURE,25000,11.86,0.11
366,A,PERSONAL,5000,8.94,0.3
367,B,VENTURE,4375,9.63,0.27
368,C,PERSONAL,24750,14.22,0.5
369,B,DEBTCONSOLIDATION,24750,9.33,0.41
370,C,MEDICAL,24500,13.85,0.29
371,B,EDUCATION,2000,10.65,0.12
372,B,MEDICAL,24500,11.46,0.27
373,A,PERSONAL,35000,7.66,0.22
374,E,VENTURE,12000,16.77,0.07
375,B,PERSONAL,12000,9.63,0.07
376,C,PERSONAL,25000,12.23,0.16
377,D,MEDICAL,10000,14.09,0.07
378,C,PERSONAL,24250,13.98,0.45
379,B,EDUCATION,24250,10.62,0.39
380,A,DEBTCONSOLIDATION,3900,,0.23
381,E,PERSONAL,24250,17.56,0.35
382,D,MEDICAL,24250,14.96,0.37
383,D,DEBTCONSOLIDATION,24250,15.65,0.33
384,D,MEDICAL,24250,15.7,0.31
385,B,VENTURE,24250,12.53,0.27
386,E,HOMEIMPROVEMENT,24250,17.56,0.31
387,C,PERSONAL,24250,12.87,0.24
388,D,PERSONAL,24250,15.7,0.24
389,A,EDUCATION,9000,,0.06
390,B,VENTURE,15000,11.14,0.09
391,D,VENTURE,20000,16.0,0.13
392,D,EDUCATION,25000,15.65,0.16
393,C,DEBTCONSOLIDATION,13750,,0.09
394,D,VENTURE,15250,15.31,0.1
395,C,VENTURE,20000,13.47,0.13
396,C,HOMEIMPROVEMENT,4750,13.85,0.28
397,D,PERSONAL,24250,,0.22
398,B,VENTURE,6000,10.39,0.36
399,B,HOMEIMPROVEMENT,24250,11.36,0.21
400,B,EDUCATION,24250,11.83,0.17
401,B,EDUCATION,24250,12.53,0.08
402,D,HOMEIMPROVEMENT,24150,14.96,0.22
403,C,DEBTCONSOLIDATION,24000,13.85,0.56
404,B,VENTURE,24000,11.58,0.51
405,D,VENTURE,24000,16.29,0.5
406,A,MEDICAL,24000,,0.5
407,D,EDUCATION,24000,16.29,0.53
408,B,PERSONAL,24000,10.74,0.46
409,C,EDUCATION,2250,15.27,0.13
410,F,PERSONAL,24000,17.8,0.51
411,B,VENTURE,1000,11.36,0.06
412,E,MEDICAL,24000,17.56,0.49
413,A,PERSONAL,24000,7.9,0.4
414,B,PERSONAL,24000,10.99,0.4
415,A,PERSONAL,24000,7.29,0.4
416,B,MEDICAL,24000,10.75,0.4
417,A,DEBTCONSOLIDATION,24000,7.9,0.39
418,D,EDUCATION,24000,14.84,0.38
419,A,DEBTCONSOLIDATION,24000,,0.37
420,C,EDUCATION,4975,,0.28
421,E,DEBTCONSOLIDATION,24000,19.69,0.41
422,A,VENTURE,24000,,0.36
423,D,VENTURE,24000,14.96,0.4
424,A,EDUCATION,24000,6.99,0.36
425,E,PERSONAL,24000,16.45,0.39
426,B,EDUCATION,24000,10.99,0.34
427,B,DEBTCONSOLIDATION,24000,10.99,0.32
428,A,PERSONAL,3000,7.9,0.17
429,B,EDUCATION,24000,12.69,0.32
430,B,MEDICAL,24000,10.37,0.32
431,C,HOMEIMPROVEMENT,24000,,0.32
432,F,DEBTCONSOLIDATION,24000,15.83,0.35
433,C,PERSONAL,24000,13.92,0.31
434,B,VENTURE,2000,11.49,0.11
435,B,MEDICAL,24000,10.25,0.3
436,A,HOMEIMPROVEMENT,3500,7.49,0.19
437,A,EDUCATION,4000,5.99,0.22
438,D,PERSONAL,24000,12.92,0.32
439,B,PERSONAL,24000,11.58,0.27
440,A,EDUCATION,24000,8.9,0.25
441,E,DEBTCONSOLIDATION,24000,19.69,0.29
442,A,VENTURE,24000,6.54,0.25
443,D,HOMEIMPROVEMENT,4900,14.54,0.27
444,B,EDUCATION,5000,11.11,0.28
445,C,PERSONAL,24000,12.73,0.24
446,D,VENTURE,24000,15.62,0.22
447,A,HOMEIMPROVEMENT,6250,6.54,0.35
448,F,DEBTCONSOLIDATION,24000,,0.24
449,G,DEBTCONSOLIDATION,24000,20.03,0.23
450,B,EDUCATION,24000,9.91,0.2
451,B,VENTURE,24000,12.69,0.2
452,G,EDUCATION,24000,20.16,0.22
453,D,PERSONAL,24000,16.49,0.19
454,D,MEDICAL,2500,15.95,0.14
455,B,DEBTCONSOLIDATION,24000,11.49,0.18
456,B,PERSONAL,24000,10.99,0.18
457,C,HOMEIMPROVEMENT,24000,13.79,0.18
458,G,MEDICAL,24000,20.03,0.18
459,A,EDUCATION,24000,7.49,0.16
460,D,DEBTCONSOLIDATION,24000,16.0,0.17
461,A,PERSONAL,13000,7.88,0.72
462,B,VENTURE,6250,10.62,0.35
463,B,DEBTCONSOLIDATION,24000,10.99,0.15
464,F,EDUCATION,24000,18.3,0.16
465,C,DEBTCONSOLIDATION,24000,,0.14
466,B,PERSONAL,2500,11.36,0.14
467,B,HOMEIMPROVEMENT,23975,,0.55
468,C,MEDICAL,23750,13.47,0.2
469,B,PERSONAL,23600,11.89,0.43
470,B,DEBTCONSOLIDATION,10000,12.18,0.56
471,C,DEBTCONSOLIDATION,23600,13.49,0.23
472,E,PERSONAL,23575,14.5,0.31
473,C,MEDICAL,4000,,0.22
474,D,MEDICAL,5400,15.31,0.3
475,B,MEDICAL,4000,,0.22
476,B,VENTURE,3375,,0.19
477,A,VENTURE,23400,7.49,0.35
478,C,PERSONAL,23000,,0.53
479,B,EDUCATION,23000,,0.41
480,B,VENTURE,23000,12.18,0.38
481,C,VENTURE,1200,11.34,0.07
482,B,EDUCATION,23000,9.91,0.36
483,B,HOMEIMPROVEMENT,23000,11.99,0.35
484,B,EDUCATION,23000,9.62,0.34
485,B,DEBTCONSOLIDATION,3000,9.96,0.17
486,C,VENTURE,23000,,0.29
487,D,VENTURE,23000,14.54,0.26
488,B,MEDICAL,22750,11.36,0.39
489,C,DEBTCONSOLIDATION,22500,14.27,0.32
490,B,HOMEIMPROVEMENT,3000,11.99,0.16
491,F,EDUCATION,22500,18.99,0.32
492,E,VENTURE,22400,16.7,0.31
493,A,PERSONAL,5000,9.32,0.27
494,B,DEBTCONSOLIDATION,22250,12.69,0.64
495,C,HOMEIMPROVEMENT,22000,13.11,0.51
496,B,PERSONAL,22000,10.74,0.42
497,D,PERSONAL,4200,14.11,0.22
498,B,EDUCATION,22000,9.63,0.39
499,C,MEDICAL,22000,14.65,0.38
500,B,DEBTCONSOLIDATION,22000,10.25,0.37
501,C,VENTURE,22000,14.26,0.37
502,B,EDUCATION,3000,9.91,0.16
503,E,MEDICAL,22000,17.19,0.39
504,B,EDUCATION,22000,11.36,0.31
505,F,EDUCATION,22000,,0.33
506,B,DEBTCONSOLIDATION,22000,10.59,0.3
507,B,EDUCATION,22000,9.25,0.29
508,A,MEDICAL,3625,8.49,0.19
509,A,VENTURE,22000,6.54,0.29
510,A,MEDICAL,6000,8.49,0.32
511,A,MEDICAL,22000,,0.28
512,B,VENTURE,22000,12.69,0.27
513,C,MEDICAL,7400,13.85,0.39
514,A,DEBTCONSOLIDATION,4000,7.4,0.21
515,B,DEBTCONSOLIDATION,22000,11.71,0.26
516,B,PERSONAL,22000,11.48,0.28
517,E,EDUCATION,22000,17.51,0.27
518,D,DEBTCONSOLIDATION,3500,14.61,0.18
519,A,DEBTCONSOLIDATION,22000,7.88,0.22
520,B,PERSONAL,22000,,0.2
521,B,PERSONAL,4950,11.71,0.26
522,B,PERSONAL,21700,11.99,0.38
523,C,VENTURE,21600,13.49,0.4
524,G,MEDICAL,21600,21.21,0.39
525,C,DEBTCONSOLIDATION,21600,14.35,0.34
526,C,PERSONAL,21600,13.61,0.26
527,B,DEBTCONSOLIDATION,21600,11.26,0.28
528,B,VENTURE,2400,10.59,0.13
529,A,MEDICAL,21600,7.9,0.19
530,A,HOMEIMPROVEMENT,7000,5.99,0.36
531,B,EDUCATION,3000,11.99,0.16
532,D,MEDICAL,21500,16.89,0.36
533,B,HOMEIMPROVEMENT,21500,9.99,0.31
534,D,EDUCATION,21500,15.33,0.19
535,A,EDUCATION,21450,7.29,0.36
536,B,DEBTCONSOLIDATION,21250,12.42,0.69
537,B,VENTURE,21250,10.99,0.45
538,A,VENTURE,21250,6.91,0.42
539,C,DEBTCONSOLIDATION,5000,14.17,0.26
540,B,MEDICAL,21250,10.25,0.4
541,B,EDUCATION,9250,,0.48
542,D,VENTURE,21250,15.95,0.38
543,D,EDUCATION,21250,15.95,0.33
544,B,VENTURE,21000,12.53,0.6
545,D,HOMEIMPROVEMENT,1400,14.91,0.07
546,A,MEDICAL,3000,,0.16
547,A,MEDICAL,21000,6.54,0.53
548,B,VENTURE,1000,,0.05
549,F,MEDICAL,21000,17.26,0.5
550,B,MEDICAL,21000,11.36,0.33
551,A,VENTURE,4000,7.51,0.21
552,B,PERSONAL,21000,10.71,0.36
553,C,PERSONAL,21000,13.98,0.3
554,D,DEBTCONSOLIDATION,21000,14.09,0.32
555,B,EDUCATION,21000,10.0,0.28
556,D,MEDICAL,5000,15.33,0.26
557,E,MEDICAL,21000,16.32,0.29
558,A,HOMEIMPROVEMENT,21000,7.9,0.27
559,B,MEDICAL,21000,11.99,0.26
560,B,MEDICAL,21000,10.75,0.25
561,C,HOMEIMPROVEMENT,21000,13.92,0.25
562,B,EDUCATION,21000,9.91,0.23
563,E,EDUCATION,21000,16.95,0.26
564,A,EDUCATION,21000,7.9,0.22
565,C,EDUCATION,21000,,0.22
566,D,PERSONAL,21000,16.49,0.21
567,C,PERSONAL,7500,11.97,0.39
568,A,DEBTCONSOLIDATION,6250,6.17,0.32
569,A,HOMEIMPROVEMENT,21000,8.9,0.17
570,C,EDUCATION,21000,12.99,0.17
571,B,PERSONAL,20900,12.69,0.25
572,B,EDUCATION,15000,9.64,0.77
573,A,VENTURE,20500,7.49,0.41
574,C,EDUCATION,20500,13.16,0.29
575,A,EDUCATION,2100,8.38,0.11
576,B,EDUCATION,20400,10.25,0.25
577,A,PERSONAL,20375,7.49,0.38
578,B,EDUCATION,20050,9.76,0.77
579,B,DEBTCONSOLIDATION,20000,10.99,0.61
580,B,PERSONAL,5000,11.71,0.25
581,B,PERSONAL,9250,10.65,0.46
582,B,MEDICAL,20000,12.53,0.57
583,D,MEDICAL,20000,14.59,0.53
584,D,DEBTCONSOLIDATION,20000,12.61,0.63
585,C,MEDICAL,20000,13.11,0.53
586,B,MEDICAL,6400,10.65,0.32
587,C,PERSONAL,20000,11.22,0.52
588,D,EDUCATION,20000,16.0,0.61
589,B,HOMEIMPROVEMENT,20000,8.88,0.59
590,B,PERSONAL,20000,12.53,0.5
591,D,MEDICAL,20000,,0.56
592,A,MEDICAL,4800,5.99,0.24
593,C,EDUCATION,20000,13.47,0.48
594,A,VENTURE,20000,6.99,0.47
595,D,PERSONAL,5650,15.99,0.28
596,C,EDUCATION,3625,,0.18
